date | value
2100-02-29 | 1
2200-02-29 | 1
4000-02-29 | 1
2025-02-29 | 1
2400-02-29 | 1
2009-01-02 | 1
2011-04-17 | 1
2011-04-17 | 1.1f
2011-04-14 | 1
2010-08-20 | 1.12
2009-08-03 | 1
2011-09-03 | 1
2011-08-03 | 1
2009-01-01 | 1
2009-03-01 |     1
2009-03-01 | 1       
2009-01-05 | 1
sdsffdssd |  
asdadfsd 
 | 
2008_01_01 | 4
           | 
eeeeeeeeee |
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -3
2001-42-42
2012-01-11 | 1
2012-01-11 | 1001
2023-04-29 | 1
